date,home_team,away_team,country
2022-11-25,Netherlands,Ecuador,Qatar
2022-11-25,Wales,Iran,Qatar
2022-11-25,England,United States,Qatar
2022-11-26,Poland,Saudi Arabia,Qatar
2022-11-26,Argentina,Mexico,Qatar
2022-11-26,Tunisia,Australia,Qatar
2022-11-26,France,Denmark,Qatar
2022-11-27,Japan,Costa Rica,Qatar
2022-11-27,Spain,Germany,Qatar
2022-11-27,Belgium,Morocco,Qatar
2022-11-27,Croatia,Canada,Qatar
2022-11-28,Cameroon,Serbia,Qatar
2022-11-28,Brazil,Switzerland,Qatar
2022-11-28,South Korea,Ghana,Qatar
2022-11-28,Portugal,Uruguay,Qatar
2022-11-29,Ecuador,Senegal,Qatar
2022-11-29,Qatar,Netherlands,Qatar
2022-11-29,Wales,England,Qatar
2022-11-29,Iran,United States,Qatar
2022-11-30,Poland,Argentina,Qatar
2022-11-30,Saudi Arabia,Mexico,Qatar
2022-11-30,Australia,Denmark,Qatar
2022-11-30,Tunisia,France,Qatar
2022-12-01,Japan,Spain,Qatar
2022-12-01,Costa Rica,Germany,Qatar
2022-12-01,Croatia,Belgium,Qatar
2022-12-01,Canada,Morocco,Qatar
2022-12-02,Serbia,Switzerland,Qatar
2022-12-02,Cameroon,Brazil,Qatar
2022-12-02,Ghana,Uruguay,Qatar
2022-12-02,South Korea,Portugal,Qatar
2022-12-03,Netherlands,United States,Qatar
2022-12-03,Argentina,Australia,Qatar
2022-12-04,France,Poland,Qatar
2022-12-04,England,Senegal,Qatar
2022-12-05,Japan,Croatia,Qatar
2022-12-05,Brazil,South Korea,Qatar
2022-12-06,Morocco,Spain,Qatar
2022-12-06,Portugal,Switzerland,Qatar
2022-12-09,Croatia,Brazil,Qatar
2022-12-09,Netherlands,Argentina,Qatar
2022-12-10,Morocco,Portugal,Qatar
2022-12-10,England,France,Qatar
2022-12-13,Argentina,Croatia,Qatar
2022-12-14,France,Morocco,Qatar
2022-12-17,Croatia,Morocco,Qatar
2022-12-18,Argentina,France,Qatar
